liman_turk_adi;liman_turk_kodu
ÇINAR TERSANECÝLÝK SAN. VE TÝC. LTD. ÞTÝ.;TRGEM-004
GEMLÝK KÜÇÜKKUMLA ÝSKELESÝ;TRGEM-005
GEMPORT GEMLÝK LÝMAN TESÝSÝ;TRGEM-006
MKS MARMARA BORU HATTI VE ÞAMANDIRA SÝSTEMÝ (GEMLÝK);TRGEM-007
RODA GEMLÝK LÝMANI;TRGEM-008
FISTIKLI KÖYÜ BALIKÇI BARINAÐI;TRGEM-009
1 NOLU DEMÝRLEME SAHASI;TRGEM-010
2 NOLU DEMÝRLEME SAHASI;TRGEM-011
GÝRESUN LÝMANI;TRGIR-001
1 NOLU DEMÝRLEME SAHASI;TRGIR-002
2 NOLU DEMÝRLEME SAHASI;TRGIR-003
3 NOLU DEMÝRLEME SAHASI;TRGIR-004
4 NOLU DEMÝRLEME SAHASI;TRGIR-005
GÖRELE BALIKÇI BARINAÐI;TRGOR-001
EGESU GÜLLÜK MARÝNA;TRGUL-002
GÜLLÜK MANDALYA LÝMANI;TRGUL-003
KILIÇ DENÝZ ÜRÜNLERÝ ÝSKELESÝ;TRGUL-004
MANDALYA MARÝNA;TRGUL-005
GÖKOVA ÖREN MARÝNA;TRGUL-007
1 NOLU DEMÝR SAHASI;TRGUL-008
2 NOLU DEMÝR SAHASI;TRGUL-009
TERSAN TERSANECÝLÝK YAT TEKNE ÝMAL VE ÇEKEK YERÝ;TRGUL-010
UFUK DENÝZCÝLÝK YAT ÇEKEK YERÝ;TRGUL-011
ÇAVUÞLU TERSANESÝ;TRGUL-012
HOPA LÝMANI;TRHOP-001
1 NOLU DEMÝRLEME SAHASI;TRHOP-002
2 NOLU DEMÝRLEME SAHASI;TRHOP-003
3 NOLU DEMÝRLEME SAHASI;TRHOP-004
KIYIKÖY BALIKÇI BARINAÐI;TRIGN-001
1 NOLU DEMÝR YERÝ;TRIGN-002
2 NOLU DEMÝR YERÝ;TRIGN-003
3 NOLU DEMÝR YERÝ;TRIGN-004
ÝÐNEADA BALIKÇI BARINAÐI;TRIGN-005
ÝNEBOLU LÝMANI;TRINE-001
ÝNEBOLU LÝMANI DEMÝR SAHASI;TRINE-002
TEH.MAD.TAÞI.GEMÝ DEMÝR SAHASI;TRINE-003
ASSAN PORT ÝSKENDERUN;TRISK-001
ATAKAÞ LÝMAN TESÝSÝ;TRISK-002
AYGAZ A.Þ. DÖRTYOL TERMÝNALÝ;TRISK-003
BOTAÞ DÖRTYOL LÝMANI;TRISK-005
ÇEVLÝK BALIKÇI BARINAÐI;TRISK-007
EKÝNCÝLER ÝSKELESÝ;TRISK-008
GÜBRETAÞ ÝSKENDERUN LÝMANI;TRISK-009
ÝPRAGAZ A.Þ. DÖRTYOL STOKLAMA TERMÝNALÝ;TRISK-010
ÝSDEMÝR LÝMANI;TRISK-011
ÝSKENDERUN BALIKÇI BARINAÐI;TRISK-013
ÝSKENDERUN KARAYOLLARI ASFALT ÝSKELESÝ;TRISK-014
ÝSKENDERUN NATO ÞAMANDIRALARI;TRISK-015
LÝMAKPORT ÝSKENDERUN LÝMANI;TRISK-016
MÝLANGAZ A.Þ. DÖRTYOL TERMÝNALÝ;TRISK-017
MMK METALURJÝ ÝSKELESÝ;TRISK-018
PET GAZ A.Þ. LPG DEPOLAMA VE TÜP DOLUM TESÝSÝ;TRISK-019
PETROL OFÝSÝ A.Þ. ÝSKENDERUN TERMÝNALÝ;TRISK-020
GLOBAL TERMÝNAL HÝZMETLERÝ;TRISK-021
SARISEKÝ NATO ÝSKELESÝ;TRISK-023
SASA ÝSKENDERUN TANK SAHASI VE DOLUM TESÝSÝ TERMÝNALÝ;TRISK-024
YAZICILAR ÝSKELESÝ;TRISK-027
BYPORT PETROL TERMÝNALÝ;TRISK-028
TOSYALI LÝMANI;TRISK-029
1 NOLU DEMÝRLEME SAHASI;TRISK-031
2 NOLU DEMÝRLEME SAHASI (TEHLÝKELÝ YÜK);TRISK-032
3 NOLU DEMÝRLEME SAHASI;TRISK-033
4 NOLU DEMÝRLEME SAHASI;TRISK-034
5-A DEMÝRLEME SAHASI (LPG);TRISK-035
5-B DEMÝRLEME SAHASI (LNG);TRISK-036
6 NOLU DEMÝRLEME SAHASI;TRISK-037
7 NOLU DEMÝRLEME SAHASI (TEHLÝKELÝ YÜK);TRISK-038
HATAY DENÝZ OTOBÜSÜ ÝSKELESÝ;TRISK-039
GÜNEY WÝMBA DOLUM VE DEPOLAMA TERMÝNALÝ;TRISK-040
AHIRKAPI DEMÝR MEVKÝÝ;TRIST-001
ATAKÖY MARÝNA;TRIST-002
ÝSPARK ÝSTÝNYE TEKNE PARK;TRIST-003
ÝSPARK TARABYA TEKNE PARK;TRIST-004
KARAKÖY SALIPAZARI LÝMANI;TRIST-005
TDÝ SARAYBURNU RIHTIMI;TRIST-006
TCDD HAYDARPAÞA LÝMANI;TRIST-007
THY OPET YEÞÝLKÖY TERMÝNALÝ;TRIST-008
ZEYPORT LÝMANI;TRIST-009
TDÝ KURUÇEÞME RIHTIMI;TRIST-010
BOSTANCI ÝDO TERMÝNALÝ;TRIST-011
YENÝKAPI ÝDO TERMÝNALÝ;TRIST-012
ÝSTANBUL YENÝ HAVA LÝMANI AKARYAKIT ÝKMAL TERMÝNALÝ;TRIST-013
