sube_adi;sube_il_kodu;sube_kodu;
ADATEPE ŞUBESİ;034;004600754034;
AKATLAR/İSTANBUL;034;004600607034;
AKBANK EFT MERKEZİ;034;004699999034;
AKMERKEZ/ISTANBUL;034;004600768034;
AKSARAY/İSTANBUL;034;004600142034;
ALİBEYKÖY/İSTANBUL;034;004600186034;
ALKENT;034;004600689034;
ALTUNİZADE;034;004600866034;
ARNAVUTKÖY ŞUBESİ;034;004601106034;
ARNAVUTKÖY\BEŞİKTAŞ;034;004600339034;
ATAKÖY/IST;034;004600404034;
ATALAR ŞUBESİ;034;004600360034;
ATAŞEHIR/ISTANBUL;034;004600767034;
ATİKALİ/ISTANBUL;034;004600028034;
ATRIUM/ISTANBUL;034;004600771034;
AVCILAR  E5;034;004600870034;
AVCILAR/İSTANBUL;034;004600426034;
AYAZPAŞA/İSTANBUL;034;004600277034;
BAĞCILAR/İSTANBUL;034;004600435034;
BAĞDAT CADDESİ;034;004600282034;
BAĞLARBAŞI/İSTANBUL;034;004600257034;
BAHARİYE/İSTANBUL;034;004600141034;
BAHÇEKAPI TICARI;034;004600835034;
BAHÇEKAPI/ISTANBUL;034;004600004034;
BAHÇELİEVLER/İSTANBUL;034;004600182034;
BAHÇEŞEHIR;034;004600794034;
BAKIRKOY/ISTANBUL;034;004600150034;
BANKALAR CADDESİ /İSTANBUL;034;004600156034;
BARBAROS BULVARI/İSTANBUL;034;004600298034;
BAŞAKŞEHİR;034;004600792034;
BATI ATAŞEHİR ŞUBESİ;034;004601024034;
BATI KURUMSAL ŞUBESI;034;004600787034;
BAYRAMPAŞA/İSTANBUL;034;004600266034;
BEBEK/İSTANBUL;034;004600167034;
BESYUZEVLER IST;034;004600643034;
BEŞİKTAŞ/ISTANBUL;034;004600013034;
BEŞYOL/SEFAKÖY;034;004600309034;
BEYAZIT;034;004600032034;
BEYKENT ŞUBESİ;034;004601320034;
BEYKOZ/ISTANBUL;034;004600036034;
BEYLERBEYİ/İSTANBUL;034;004600366034;
BEYLIKDUZU IST;034;004600644034;
BEYLIKDÜZÜ SANAYI SUBESI;034;004600817034;
BEYOĞLU/İSTANBUL;034;004600039034;
BOSTANCI;034;004600766034;
BOSTANCI OTO SANAYİ ŞUBESİ;034;004601341034;
BUYAKA ŞUBESİ;034;004601422034;
BÜYÜKÇEKMECE/İSTANBUL;034;004600197034;
CADDEBOSTAN/ISTANBUL;034;004600255034;
CARREFOURSA HARAMİDERE;034;004600750034;
CARREFOURSA İSTİNYE;034;004600745034;
CENNET MAH./İSTANBUL;034;004600324034;
CEVİZLİ/İSTANBUL;034;004600216034;
CİHANGİR/İSTANBUL;034;004600198034;
CİTY S KOZYATAĞI;034;004600721034;
CUMHURİYET CADDESİ ŞUBESİ;034;004601249034;
ÇAĞLAYAN ISTANBUL;034;004600352034;
ÇATALCA;034;004600211034;
ÇEK OPERASYON MERKEZI SUBESI;034;004600967034;
ÇEKMEKÖY;034;004600809034;
ÇENGELKÖY/İSTANBUL;034;004600367034;
ÇİFTEHAVUZLAR;034;004600138034;
DIŞ İŞLEMLER GRUBU;034;004600999034;
DOĞU KURUMSAL;034;004600798034;
DUDULLU ŞUBESİ;034;004601212034;
ERENKÖY ŞUBESI;034;004601356034;
ESENKENT ŞUBESİ;034;004601048034;
ESENLER/İSTANBUL;034;004600447034;
ESENTEPE ŞUBESİ;034;004600420034;
ESENYURT ÇARŞI ŞUBESİ;034;004601343034;
ESENYURT HADIMKÖY YOLU;034;004600884034;
ESENYURT ŞUBESİ;034;004600762034;
ETİLER/İSTANBUL;034;004600148034;
EYÜP/İSTANBUL;034;004600165034;
FATİH/İSTANBUL;034;004600152034;
FERHATPAŞA ŞUBESİ;034;004601262034;
FERİKÖY /İSTANBUL;034;004600143034;
FİKİRTEPE ŞUBESI;034;004601191034;
FİNANSAL MUHASEBE;034;004600001034;
FLORYA;034;004600690034;
FULYA ŞUBESİ;034;004600822034;
GALATA TICARI;034;004600839034;
GALATA/İSTANBUL;034;004600019034;
GAYRETTEPE TICARI ŞUBE;034;004600789034;
GAYRETTEPE/İSTANBUL;034;004600287034;
GAZİ MAHALLESİ ŞUBESİ;034;004601084034;
GAZİOSMANPAŞA/ISTANBUL;034;004600055034;
GEZICI ŞUBE ÖZGÜR 1;034;004600764034;
GÖKTÜRK;034;004600882034;
GÖZTEPE/İSTANBUL;034;004600315034;
GÜLBAĞ ŞUBESI;034;004601340034;
GÜLTEPE/İSTANBUL;034;004600171034;
GÜNEŞLI TICARI ŞUBESI;034;004600788034;
GÜNEŞLİ/ISTANBUL;034;004600635034;
GÜNGÖREN KÖYİÇİ;034;004600830034;
GÜNGÖREN/İSTANBUL;034;004600391034;
GÜZELYALI ŞUBESİ;034;004601308034;
HALKALI ŞUBESİ;034;004601112034;
HARBİYE;034;004600166034;
HASANPAŞA/İSTANBUL;034;004600235034;
HASKÖY/İSTANBUL;034;004600207034;
IHLAMURKUYU ŞUBESİ;034;004600791034;
IKITELLI;034;004600785034;
IKITELLI TICARI;034;004600867034;
IMES ISTANBUL;034;004600628034;
IMES TICARI;034;004600876034;
ISTANBUL KURUMSAL ŞUBE;034;004600763034;
ISTANBUL MERKEZI VEZNE MÜDÜRLÜĞÜ;034;004600900034;
ISTOC IST;034;004600640034;
İÇERENKÖY/ŞUBESİ;034;004600570034;
İKİTELLİ  N.O.M;034;004600908034;
İKİTELLİ ORGANİZE SANAYİ ŞUBESİ;034;004601376034;
İMES SANAYİ ŞUBESİ;034;004600546034;
İNCİRLİYOLU/İSTANBUL;034;004600295034;
İSTİNYE/İSTANBUL;034;004600181034;
KADIKÖY/ISTANBUL;034;004600020034;
KAĞITHANE/İSTANBUL;034;004600357034;
KALAMIŞ;034;004600388034;
KANLICA/İSTANBUL;034;004600417034;
KARTAL NOM;034;004601285034;
KARTAL/ISTANBUL;034;004600161034;
KASIMPAŞA/ISTANBUL;034;004600068034;
KAVACIK;034;004600964034;
KAYIŞDAĞI CADDESI ŞUBESI;034;004601284034;
KAYNARCA/İSTANBUL;034;004600572034;
KIŞLA CADDESİ/TOPÇULAR ŞUBESİ;034;004600706034;
KOCAMUSTAFAPAŞA/İSTANBUL;034;004600200034;
KOŞUYOLU ŞUBESI;034;004601202034;
KOZYATAGI;034;004600632034;
KOZYATAĞI N.O.M;034;004600905034;
KOZYATAĞI TICARI;034;004600799034;
KREDI KARTLARI MERKEZI;034;004600951034;
KURTKOY IST;034;004600641034;
KUYUBAŞI/İSTANBUL;034;004600389034;
KÜÇÜKBAKKALKÖY;034;004600715034;
KÜÇÜKKÖY/İSTANBUL;034;004600509034;
KÜÇÜKYALI/ISTANBUL;034;004600170034;
LEVENT SANAYİ ŞUBESİ;034;004600258034;
LEVENT/İSTANBUL;034;004600175034;
LİBADİYE ŞUBESİ;034;004601054034;
MAHMUTPAŞA/ISTANBUL;034;004600058034;
MALTEPE E-5 ŞUBESİ;034;004601379034;
MALTEPE/KARTAL/İSTANBUL;034;004600029034;
MASKO ŞUBESİ;034;004601174034;
MASLAK;034;004600645034;
MASLAK TICARI SUBE;034;004600786034;
MECİDİYEKÖY;034;004600133034;
MEGACENTER ŞUBESİ;034;004600994034;
MERTER TEKSTİL MERKEZİ ŞUBESİ;034;004600630034;
MERTER/İSTANBUL;034;004600422034;
MİMAR SİNAN;034;004600991034;
MODA/İSTANBUL;034;004600256034;
NİSBETİYE/İSTANBUL;034;004600396034;
NİŞANTAŞI/ISTANBUL;034;004600075034;
NURUOSMANİYE/İSTANBUL;034;004600177034;
ORTAKLAR CADDESİ;034;004600692034;
ORTAKÖY/İSTANBUL;034;004600220034;
OSMANBEY/İSTANBUL;034;004600390034;
OZEL BANKACILIK ETİLER MERKEZ ŞUBE;034;004600741034;
ÖRNEK MAHALLESI SUBESI;034;004601241034;
ÖZEL BANKACILIK BAĞDAT CADDESİ ŞUBE;034;004600753034;
ÖZEL BANKACILIK NIŞANTAŞI;034;004600775034;
ÖZEL BANKACILIK YEŞİLKÖY ŞUBESİ;034;004601119034;
PENDIK E5;034;004600889034;
PENDİK/İSTANBUL;034;004600162034;
PERPA;034;004600633034;
PLAZA KURUMSAL ŞUBESİ;034;004601123034;
RADAR/YENİBOSNA ŞUBESİ;034;004601175034;
RUMELİ CAD./İSTANBUL;034;004600432034;
SABANCI CENTER ŞUBESİ;034;004600192034;
SABANCI CENTER(GEZICI ŞUBE-ÖZGÜR 2);034;004600765034;
SABANCI ÜNİVERSİTESİ;034;004600713034;
SALIPAZARI/ISTANBUL;034;004600063034;
SAMANDIRA ŞUBESİ;034;004601222034;
SANCAKTEPE ŞUBESI;034;004600584034;
SARIYER/ISTANBUL;034;004600038034;
