sube_adi;sube_il_kodu;sube_kodu;
YEDİTEPE ÜNİVERSİTESİ/İSTANBUL;034;006401458034;
YEDPA / ISTANBUL                   ;034;006401222034;
YENIDOĞAN/ISTANBUL;034;006401443034;
YENİBOSNA/İSTANBUL                 ;034;006401117034;
YENİCAMİ/İSTANBUL                  ;034;006401000034;
YENİKÖY/İSTANBUL                   ;034;006401151034;
YENİMAHALLE/İSTANBUL;034;006401374034;
YEŞİLKÖY/İSTANBUL                  ;034;006401128034;
YEŞİLPINAR/İSTANBUL;034;006401289034;
YEŞİLTEPE/İSTANBUL                 ;034;006401153034;
YEŞİLYURT ÖZEL BANKACILIK/İSTANBUL;034;006401201034;
YEŞİLYURT/İSTANBUL                 ;034;006401088034;
YILDIZ TEKNİK ÜNİ.-DAVUTPAŞA/IST;034;006401377034;
YILDIZ ÜNİVERSİTESİ.               ;034;006401199034;
YUKARI ACIBADEM/IST.;034;006401231034;
ZEKERİYAKÖY/İSTANBUL;034;006401361034;
ZEYTİNBURNU/İSTANBUL               ;034;006401062034;
ZINCIRLIKUYU TICARI/ISTANBUL;034;006401393034;
ZİNCİRLİKUYU/İSTANBUL              ;034;006401154034;
ZİVERBEY/İSTANBUL                  ;034;006401155034;
AKÇAY CADDESİ/İZMİR;035;006403393035;
ALACATI-CESME/IZMIR;035;006403382035;
ALİAGA/İZMİR                       ;035;006403475035;
ALSANCAK/İZMİR                     ;035;006403401035;
ALTINDAG/İZMİR                     ;035;006403428035;
ATAKENT/İZMİR;035;006403391035;
ATAŞEHİR-ÇİĞLİ/İZMİR;035;006403482035;
ATATURK ORGANIZE SANAYI BOL.IZMIR  ;035;006403494035;
ATATÜRK ORGANİZE SANAYİ BÖLGESİ TİCARİ/İZMİR;035;006403367035;
AYRANCILAR-TORBALI/IZMIR;035;006403381035;
BALCOVA/İZMİR                      ;035;006403429035;
BASMANE/İZMİR                      ;035;006403402035;
BAYINDIR/İZMİR                     ;035;006403460035;
BAYRAKLI/İZMİR                     ;035;006403430035;
BERGAMA/İZMİR                      ;035;006403461035;
BORNOVA TICARI/IZMIR;035;006403397035;
BORNOVA/İZMİR                      ;035;006403403035;
BOSTANLI/İZMİR                     ;035;006403421035;
BUCA/İZMİR                         ;035;006403404035;
CAMDİBİ/İZMİR                      ;035;006403414035;
CEŞME/İZMİR                        ;035;006403469035;
CIGLI SB./İZMİR                    ;035;006403431035;
DİKİLİ/İZMİR                       ;035;006403466035;
EGE KURUMSAL / IZMIR;035;006403399035;
EGE SERBEST BÖLGE/İZMİR;035;006403495035;
EGE ÜNİVERSİTESİ/BORNOVA           ;035;006403499035;
ESREFPASA /IZMIR;035;006403405035;
FOCA/İZMİR                         ;035;006403472035;
GAZİEMİR/İZMİR                     ;035;006403443035;
GEDIZ MAHALLESI-BUCA/IZMIR;035;006403386035;
GIDA CARŞISI/İZMİR                 ;035;006403456035;
GİRNE-AKSOY/İZMİR                  ;035;006403479035;
GÜMÜLDÜR/İZMİR                     ;035;006403492035;
GÜZELBAHCE/İZMİR                   ;035;006403491035;
GÜZELYALI/İZMİR                    ;035;006403406035;
HATAY/İZMİR                        ;035;006403407035;
II.SAN.SİT.BORNOVA/İZMİR           ;035;006403478035;
ILICA-CESME/IZMIR;035;006403493035;
IZMIR TICARI/IZMIR;035;006403398035;
İZMİR                              ;035;006403400035;
İZMİR GİRİŞİMCİLİK ŞUBESİ;035;006402035035;
İZMİR ÖZEL BANKACILIK;035;006403374035;
KARABAGLAR/İZMİR                   ;035;006403418035;
KARŞIYAKA/İZMİR                    ;035;006403470035;
KEMALPAŞA/İZMİR                    ;035;006403471035;
KEMERALTI/İZMİR                    ;035;006403416035;
KINIK/İZMİR                        ;035;006403480035;
KIPA-BALCOVA/IZMIR;035;006403487035;
KİRAZ/İZMİR                        ;035;006403490035;
KONAK/İZMİR                        ;035;006403408035;
KORDON/İZMİR                       ;035;006403420035;
MANAVKUYU/IZMIR;035;006403387035;
MANSUROGLU/BORNOVA                 ;035;006403458035;
MAVISEHIR/IZMIR SB.                ;035;006403485035;
MENDERES/İZMİR                     ;035;006403459035;
MENEMEN/İZMİR                      ;035;006403462035;
NARLIDERE/İZMİR                    ;035;006403435035;
NATO/İZMİR                         ;035;006403474035;
NERGİS/İZMİR                       ;035;006403436035;
ÖDEMİŞ/İZMİR                       ;035;006403463035;
PINARBAŞI/İZMİR                    ;035;006403450035;
SEFERİHİSAR/İZMİR                  ;035;006403476035;
SELCUK/İZMİR                       ;035;006403467035;
SIRINYER/IZMIR;035;006403419035;
STADYUM-BUCA/IZMIR;035;006403498035;
ŞEMİKLER/İZMİR                     ;035;006403437035;
TİRE/İZMİR                         ;035;006403464035;
TORBALI/İZMİR                      ;035;006403465035;
ULUCAK-KEMALPASA OSB/IZMIR;035;006403385035;
URLA/İZMİR                         ;035;006403468035;
ÜCKUYULAR/İZMİR                    ;035;006403425035;
ÜCYOL/İZMİR                        ;035;006403426035;
YENİ LİMAN/İZMİR                   ;035;006403427035;
YENİŞEHİR/İZMİR                      ;035;006403411035;
YEŞİLOVA/İZMİR;035;006403376035;
YEŞİLYURT/İZMİR                    ;035;006403447035;
1.SANAYI SITESI CAMDIBI/IZMIR      ;035;006403438035;
4.SANAYI SITESI/IZMIR;035;006403489035;
KAGIZMAN/KARS;036;006409506036;
KARS                               ;036;006409500036;
SARIKAMIŞ/KARS                     ;036;006409522036;
CİDE/KASTAMONU                     ;037;006405230037;
İNEBOLU/KASTAMONU                  ;037;006405222037;
KASTAMONU                          ;037;006405200037;
TAŞKÖPRÜ/KASTAMONU                 ;037;006405220037;
TOSYA/KASTAMONU                    ;037;006405221037;
AĞAÇ İŞLERİ SANAYİ SİTESİ/KAYSERİ;038;006405314038;
ARGINCIK/KAYSERI                   ;038;006405315038;
DEVELİ/KAYSERİ                     ;038;006405330038;
DOĞU SANAYİ/KAYSERİ;038;006405319038;
DÜVENÖNÜ/KAYSERİ                   ;038;006405302038;
KAYSERİ                            ;038;006405300038;
KAYSERİ TİCARİ;038;006405353038;
KOCASİNAN/KAYSERİ;038;006405313038;
KÖŞK/KAYSERI;038;006405311038;
ORGANIZE SANAYI/KAYSERI            ;038;006405306038;
PINARBAŞI/KAYSERİ                  ;038;006405310038;
SAHABİYE/KAYSERİ                   ;038;006405307038;
SANAYİ/KAYSERİ                     ;038;006405301038;
SIVAS CADDESI/KAYSERI              ;038;006405304038;
TALAS/KAYSERİ;038;006405316038;
YAHYALI/KAYSERI;038;006405381038;
YENİ SANAYİ SİT./KAYSERİ           ;038;006405305038;
BABAESKİ/KIRKLARELİ                ;039;006401422039;
KIRKLARELİ                         ;039;006401400039;
LÜLEBURGAZ/KIRKLARELİ              ;039;006401420039;
PINARHİSAR/KIRKLARELİ              ;039;006401440039;
VİZE/KIRKLARELİ                    ;039;006401421039;
KAMAN/KIRŞEHİR                     ;040;006405530040;
KIRŞEHİR                           ;040;006405500040;
ALEMDAR/İZMİT                      ;041;006402401041;
ÇAYIROVA/KOCAELİ;041;006402427041;
DARICA/İZMİT                       ;041;006402425041;
DEGİRMENDERE/İZMİT                 ;041;006402415041;
DERİNCE/İZMİT                      ;041;006402403041;
DILOVASI-İMES OSB/KOCAELI;041;006402435041;
DİLOVASI/KOCAELİ;041;006402428041;
GEBZE KURUMSAL/ KOCAELI.;041;006402430041;
GEBZE ORGANIZE SAN.BOL./KOCAELI;041;006402429041;
GEBZE OTO SANAYI SITESI/KOCAELI;041;006402432041;
GEBZE TICARI/KOCAELI;041;006402440041;
GEBZE/İZMİT                        ;041;006402420041;
GÖLCÜK/İZMİT                       ;041;006402423041;
HEREKE/İZMİT                       ;041;006402426041;
HURRIYET-IZMIT/KOCAELI;041;006402409041;
IBRAHIMAGA CADDESI-GEBZE/KOCAELI;041;006402418041;
İSTASYON CADDESİ/KOCAELİ;041;006402431041;
İZMİT                              ;041;006402400041;
İZMİT SANAYİ/KOCAELİ;041;006402404041;
İZMİT TİCARİ/KOCAELİ;041;006402399041;
KANDIRA/İZMİT                      ;041;006402424041;
KARAMÜRSEL/İZMİT                   ;041;006402421041;
KOCAELİ ÜNİVERSİTESİ/KOCAELİ;041;006402407041;
KORFEZ/KOCAELI;041;006402410041;
KÖSEKÖY/KOCAELİ;041;006402416041;
STADYUM-GEBZE/KOCAELİ;041;006402433041;
YAHYAKAPTAN/KOCAELİ;041;006402411041;
YARIMCA/KOCAELI;041;006402422041;
AKŞEHİR/KONYA                      ;042;006404520042;
AYYILDIZ CADDESİ-BÜSAN/KONYA;042;006404514042;
AZİZİYE/KONYA                      ;042;006404501042;
BEYŞEHİR/KONYA                     ;042;006404523042;
BUSAN/KONYA;042;006404505042;
CİHANBEYLİ/KONYA                   ;042;006404550042;
CUMRA/KONYA;042;006404552042;
EREGLİ/KONYA                       ;042;006404521042;
ILGIN/KONYA                        ;042;006404526042;
KARAPINAR/KONYA;042;006404518042;
KARATAY SAN.SİTESİ/KONYA           ;042;006404503042;
KONYA                              ;042;006404500042;
KONYA OSB;042;006404535042;
KONYA TİCARİ;042;006404545042;
KOTTİM/KONYA;042;006404516042;
KULU/KONYA                         ;042;006404530042;
MERAM/KONYA;042;006404507042;
NALCACI CADDESİ/KONYA              ;042;006404502042;
SELÇUKLU/KONYA;042;006404515042;
SEYDİŞEHİR/KONYA;042;006404533042;
YENI TOPTANCILAR SITESI/KONYA;042;006404510042;
YENICEOBA/KONYA;042;006404551042;
YUNAK/KONYA                        ;042;006404560042;
ZAFER SANAYI/KONYA;042;006404504042;
ZAFER/KONYA                        ;042;006404509042;
GEDİZ/KÜTAHYA                      ;043;006404620043;
KÜTAHYA                            ;043;006404600043;
MENDERES BULVARI/KÜTAHYA;043;006404601043;
SİMAV/KÜTAHYA                      ;043;006404621043;
TAVŞANLI/KÜTAHYA                   ;043;006404622043;
BEYDAĞI/MALATYA;044;006408603044;
MALATYA                            ;044;006408600044;
SANAYİ SİTESİ/MALATYA              ;044;006408601044;
AHMETLİ/MANİSA                     ;045;006403529045;
AKHİSAR/MANİSA                     ;045;006403520045;
ALAŞEHİR/MANİSA                    ;045;006403521045;
DEMİRCİ/MANİSA                     ;045;006403522045;
GÖRDES/MANİSA                      ;045;006403528045;
KIRKAGAC/MANİSA                    ;045;006403523045;
KULA/MANİSA                        ;045;006403530045;
MANİSA                             ;045;006403500045;
ORGANİZE SANAYİ BÖLGESİ/ MANISA    ;045;006403502045;
SALİHLİ/MANİSA                     ;045;006403524045;
SANAYI/MANISA;045;006403504045;
SARIGÖL/MANİSA                     ;045;006403570045;
SARUHANLI/MANİSA                   ;045;006403527045;
SOMA/MANİSA                        ;045;006403526045;
TURGUTLU/MANİSA                    ;045;006403525045;
AFSIN SB.K.MARAS;046;006406461046;
BINEVLER/ KAHRAMANMARAS.;046;006406404046;
ELBİSTAN/K.MARAŞ                   ;046;006406420046;
GOKSUN/KAHRAMANMARAS;046;006406431046;
KAHRAMANMARAŞ                      ;046;006406400046;
KAHRAMANMARAŞ TİCARİ;046;006406401046;
KÜÇÜK SANAYI SITESI/KAHRAMANMARAS;046;006406403046;
PAZARCIK/K.MARAŞ                   ;046;006406450046;
ÇARŞI-KIZILTEPE/MARDİN;047;006406511047;
KIZILTEPE/MARDİN                   ;047;006406510047;
MARDİN                             ;047;006406500047;
MİDYAT/MARDİN                      ;047;006406530047;
NUSAYBİN/MARDİN                    ;047;006406550047;
BODRUM ÖZEL BANKACILIK/MUĞLA  ;048;006403617048;
BODRUM/MUGLA                       ;048;006403610048;
ÇARSI-BODRUM/MUĞLA;048;006403611048;
ÇARŞI-MARMARIS/MUĞLA;048;006403642048;
DALAMAN/MUGLA                      ;048;006403631048;
DALYAN/MUGLA                       ;048;006403632048;
DATCA/MUGLA                        ;048;006403660048;
FETHİYE/MUGLA                      ;048;006403621048;
GOCEK/MUGLA;048;006403616048;
KONACIK-BODRUM/MUGLA;048;006403612048;
KÖYCEGİZ/MUGLA                     ;048;006403630048;
MARMARİS/MUGLA                     ;048;006403640048;
MİLAS/MUGLA                        ;048;006403620048;
MUGLA                              ;048;006403600048;
ORTACA/MUGLA                       ;048;006403650048;
TURGUTREIS / BODRUM                ;048;006403615048;
YALIKAVAK/BODRUM;048;006403614048;
YATAGAN/MUGLA                      ;048;006403690048;
MUŞ                                ;049;006408800049;
AVANOS/NEVŞEHİR                    ;050;006405421050;
DERİNKUYU/NEVŞEHIR                 ;050;006405415050;
GÜLŞEHİR/NEVŞEHİR                  ;050;006405440050;
HACIBEKTAS/NEVSEHIR;050;006405411050;
NEVŞEHİR                           ;050;006405400050;
SANAYİSİTESİ/NEVŞEHİR              ;050;006405401050;
ÜRGÜP/NEVŞEHİR                     ;050;006405420050;
BOR/NİGDE                          ;051;006405621051;
NİGDE                              ;051;006405600051;
AKYAZI/ORDU;052;006407104052;
FATSA/ORDU                         ;052;006407122052;
ORDU                               ;052;006407100052;
ÜNYE/ORDU                          ;052;006407121052;
YENİMAHALLE/ORDU                   ;052;006407103052;
ARDEŞEN/RİZE                       ;053;006407210053;
CAYELİ/RİZE                        ;053;006407220053;
PAZAR/RİZE                         ;053;006407230053;
RİZE                               ;053;006407200053;
ADAPAZARI/SAKARYA;054;006402000054;
AKYAZI/SAKARYA;054;006402010054;
ERENLER/SAKARYA;054;006402001054;
GEYVE/ADAPAZARI                    ;054;006402020054;
HENDEK/SAKARYA;054;006402021054;
KARASU/ADAPAZARI                   ;054;006402040054;
SANAYİ SİTESİ/SAKARYA;054;006402005054;
SAPANCA/ADAPAZARI                  ;054;006402070054;
SERDİVAN/SAKARYA;054;006402003054;
TOYOTA/SAKARYA;054;006402013054;
YENICAMI/SAKARYA;054;006402009054;
ATAKUM/SAMSUN SB.;055;006407305055;
BAFRA/SAMSUN                       ;055;006407320055;
BUGDAYPAZARI/SAMSUN                ;055;006407301055;
CARŞAMBA/SAMSUN                    ;055;006407321055;
CİFTLİK/SAMSUN                     ;055;006407302055;
ELLİALTILAR/SAMSUN;055;006407308055;
GAZİ/SAMSUN                        ;055;006407304055;
HAVZA/SAMSUN                       ;055;006407330055;
SAMSUN                             ;055;006407300055;
SAMSUN TİCARİ;055;006407373055;
SANAYİ SİTESİ/SAMSUN               ;055;006407306055;
TERME/SAMSUN                       ;055;006407360055;
VEZİRKÖPRÜ/SAMSUN                  ;055;006407370055;
SİİRT                              ;056;006408700056;
AYANCIK/SINOP                      ;057;006407421057;
BOYABAT/SINOP                      ;057;006407420057;
GERZE/SINOP                        ;057;006407422057;
SINOP                              ;057;006407400057;
TURKELI/SINOP                      ;057;006407410057;
KIZILIRMAK/SİVAS                   ;058;006405704058;
SİVAS                              ;058;006405700058;
SUŞEHRİ/SİVAS                      ;058;006405750058;
ŞARKIŞLA/SİVAS                     ;058;006405770058;
ZARA/SİVAS                         ;058;006405780058;
ATATÜRK BULVARI-ÇORLU / TEKİRDAĞ;059;006401526059;
CERKEZKÖY/TEKİRDAG                 ;059;006401540059;
CORLU/TEKİRDAG                     ;059;006401520059;
EMLAKKENT-CORLU/ TEKIRDAG;059;006401522059;
ERGENE/TEKİRDAĞ;059;006401524059;
HAYRABOLU/TEKİRDAG                 ;059;006401530059;
KAPAKLI/TEKIRDAG;059;006401541059;
KÖPRÜBAŞI / TEKİRDAĞ;059;006401501059;
MALKARA/TEKİRDAG                   ;059;006401521059;
SARAY/TEKİRDAG                     ;059;006401580059;
ŞARKÖY/TEKİRDAG                    ;059;006401590059;
TEKİRDAG                           ;059;006401500059;
TRAKYA TİCARİ/TEKİRDAĞ;059;006401525059;
ERBAA/TOKAT                        ;060;006405810060;
NİKSAR/TOKAT                       ;060;006405822060;
SANAYİ/TOKAT                       ;060;006405801060;
TOKAT                              ;060;006405800060;
TURHAL/TOKAT                       ;060;006405821060;
ZİLE/TOKAT                         ;060;006405820060;
AKCAABAT/TRABZON                   ;061;006407520061;
ARAKLI/TRABZON                     ;061;006407530061;
BESIRLI/TRABZON.;061;006407505061;
BEŞİKDÜZÜ/TRABZON                  ;061;006407524061;
DEGİRMENDERE/TRABZON               ;061;006407503061;
İNÖNÜ CADDESİ/TRABZON                ;061;006407551061;
MUMHANE/TRABZON                    ;061;006407501061;
OF/TRABZON                         ;061;006407522061;
PARK/TRABZON                       ;061;006407502061;
SÜRMENE/TRABZON                    ;061;006407523061;
TRABZON                            ;061;006407500061;
TRABZON TİCARİ;061;006407575061;
VAKFIKEBİR/TRABZON                 ;061;006407521061;
TUNCELİ                            ;062;006409600062;
AKÇAKALE/ŞANLIURFA;063;006406715063;
BİRECİK/URFA                       ;063;006406710063;
CARSI/SANLIURFA;063;006406702063;
CUMHURIYET CADDESI/SANLIURFA;063;006406701063;
EMNİYET CADDESİ/ŞANLIURFA;063;006406703063;
KARAKÖPRÜ/ŞANLIURFA;063;006406706063;
SİVEREK/URFA                       ;063;006406720063;
ŞANLIURFA                          ;063;006406700063;
VİRANŞEHİR/URFA                    ;063;006406740063;
BANAZ/UŞAK                         ;064;006403730064;
DÖRTYOL/UŞAK;064;006403702064;
SİVASLI/UŞAK                       ;064;006403740064;
UŞAK                               ;064;006403700064;
ERCİŞ/VAN                          ;065;006408920065;
İPEKYOLU/VAN;065;006408903065;
KÜÇÜK SANAYİ SİTESİ/VAN           ;065;006408901065;
VAN                                ;065;006408900065;
AKDAGMADENİ/YOZGAT                 ;066;006405910066;
BOGAZLIYAN/YOZGAT                  ;066;006405921066;
SARIKAYA/YOZGAT                    ;066;006405960066;
SORGUN/YOZGAT                      ;066;006405940066;
YERKÖY/YOZGAT                      ;066;006405920066;
YOZGAT                             ;066;006405900066;
ALAPLI/ZONGULDAK                   ;067;006407625067;
CAYCUMA/ZONGULDAK                  ;067;006407630067;
DEVREK/ZONGULDAK                   ;067;006407623067;
EREGLİ/KDZ./ZONGULDAK              ;067;006407620067;
GAZİPAŞA/ZONGULDAK                 ;067;006407603067;
GÖKCEBEY/ZONGULDAK                 ;067;006407626067;
ZONGULDAK                          ;067;006407600067;
AKSARAY                            ;068;006405620068;
MEYDAN/AKSARAY;068;006405625068;
ORTAKÖY/AKSARAY                    ;068;006405622068;
YENI SANAYI SITESI/AKSARAY;068;006405624068;
BAYBURT                            ;069;006409420069;
ERMENEK/KARAMAN                    ;070;006404528070;
KARAMAN                            ;070;006404522070;
KIRIKKALE                          ;071;006404250071;
BANKALAR CADDESI/BATMAN;072;006408321072;
BATMAN                             ;072;006408320072;
CİZRE/ŞIRNAK                       ;073;006406520073;
SILOPI SB/SIRNAK                   ;073;006406470073;
ŞIRNAK;073;006406464073;
AMASRA/BARTIN                      ;074;006407624074;
BARTIN                             ;074;006407622074;
KOZCAGIZ/BARTIN                    ;074;006407627074;
ULUS/BARTIN                        ;074;006407650074;
ARDAHAN SB.;075;006409520075;
IGDIR SB.;076;006409521076;
CIFTLIKKOY/YALOVA;077;006402509077;
SEFABEY/YALOVA;077;006402501077;
YALOVA                             ;077;006402500077;
KARABUK SB.;078;006407621078;
SAFRANBOLU SB./KARABUK             ;078;006407641078;
KILIS SB.;079;006406320079;
ATATÜR CADDESİ/OSMANİYE;080;006406032080;
DUZICI SB./OSMANIYE                ;080;006406031080;
KADIRLI SB./OSMANIYE               ;080;006406023080;
OSMANIYE SB.                       ;080;006406022080;
AKCAKOCA/DUZCE;081;006404321081;
DUZCE SB.;081;006404320081;
EFT MERKEZİ                        ;999;006499999999;
EMKT MERKEZİ                       ;999;006490008999;
EFT MERKEZI;999;009899999999;
EMKT MERKEZİ                       ;999;009890008999;
IBAN;999;009890001999;
ADANA / ADANA;001;020500426001;
BARAJYOLU / ADANA;001;020500227001;
BARKAL / ADANA;001;020500285001;
ÇUKUROVA / ADANA;001;020500126001;
KÜÇÜKSAAT / ADANA;001;020500031001;
YÜREĞİR / ADANA;001;020500170001;
ADIYAMAN / ADIYAMAN;002;020500108002;
AFYON / AFYON;003;020500012003;
AMBARYOLU / AFYON;003;020500228003;
AĞRI / AĞRI;004;020500163004;
AMASYA / AMASYA;005;020500336005;
ANKARA / ANKARA;006;020500003006;
ANKARA TİCARİ / ANKARA;006;020500460006;
ATİSAN / ANKARA;006;020500381006;
BALGAT / ANKARA;006;020500064006;
BAŞKENT KURUMSAL / ANKARA;006;020500167006;
ÇANKAYA / ANKARA;006;020500159006;
ÇUBUK / ANKARA;006;020500427006;
ÇUKURAMBAR / ANKARA;006;020500251006;
DEMETEVLER / ANKARA;006;020500076006;
DEMİRTEPE / ANKARA;006;020500129006;
ESERTEPE / ANKARA;006;020500303006;
ETİMESGUT / ANKARA;006;020500207006;
ETLİK / ANKARA;006;020500149006;
GÖLBAŞI / ANKARA;006;020500349006;
HÜSEYİNGAZİ / ANKARA;006;020500428006;
İVEDİK OSB / ANKARA;006;020500240006;
KAHRAMANKAZAN / ANKARA;006;020500486006;
KAZIM KARABEKİR / ANKARA;006;020500338006;
KEÇİÖREN / ANKARA;006;020500066006;
KIZILAY / ANKARA;006;020500075006;
MAMAK / ANKARA;006;020500287006;
OSTİM / ANKARA;006;020500044006;
OSTİM TİCARİ / ANKARA;006;020500470006;
POLATLI / ANKARA;006;020500327006;
PURSAKLAR / ANKARA;006;020500113006;
SİNCAN / ANKARA;006;020500081006;
SİNCAN ORGANİZE SANAYİ / ANKARA;006;020500380006;
SİTELER / ANKARA;006;020500258006;
ŞAŞMAZ/ANKARA;006;020500282006;
TİMKO / ANKARA;006;020500313006;
ÜMİTKÖY / ANKARA;006;020500152006;
YILDIZ / ANKARA;006;020500111006;
AKDENİZ SANAYİ / ANTALYA;007;020500333007;
ALANYA / ANTALYA;007;020500124007;
ALANYA SANAYİ / ANTALYA;007;020500447007;
ALTINOVA / ANTALYA;007;020500480007;
ANTALYA / ANTALYA;007;020500051007;
ASPENDOS BULVARI / ANTALYA;007;020500144007;
ÇALLI / ANTALYA;007;020500377007;
DÖŞEMEALTI / ANTALYA;007;020500479007;
GÜLLÜK / ANTALYA;007;020500103007;
KEPEZ / ANTALYA;007;020500263007;
KONYAALTI / ANTALYA;007;020500226007;
KUMLUCA / ANTALYA;007;020500448007;
LARA / ANTALYA;007;020500315007;
MAHMUTLAR / ANTALYA;007;020500476007;
MANAVGAT / ANTALYA;007;020500294007;
SERİK / ANTALYA;007;020500335007;
SİDE;007;020500492007;
AYDIN / AYDIN;009;020500116009;
KUŞADASI / AYDIN;009;020500425009;
NAZİLLİ / AYDIN;009;020500278009;
SÖKE / AYDIN;009;020500290009;
BALIKESİR / BALIKESİR;010;020500068010;
BANDIRMA / BALIKKESİR;010;020500277010;
EDREMİT / BALIKESİR;010;020500181010;
KARESİ / BALIKESİR;010;020500404010;
BİLECİK / BİLECİK;011;020500232011;
BİNGÖL/ BİNGÖL;012;020500400012;
TATVAN / BİTLİS;013;020500178013;
BOLU / BOLU;014;020500145014;
BURDUR / BURDUR;015;020500360015;
BEŞEVLER SANAYİ / BURSA;016;020500078016;
BURSA / BURSA;016;020500010016;
BURSA TİCARİ / BURSA;016;020500458016;
CUMHURİYET CADDESİ / BURSA;016;020500182016;
DEMİRTAŞ / BURSA;016;020500110016;
DİKKALDIRIM / BURSA;016;020500211016;
EMEK / BURSA;016;020500388016;
FATİH SULTAN MEHMET BULVARI / BURSA;016;020500161016;
GEMLİK / BURSA;016;020500189016;
GÜRSU / BURSA;016;020500326016;
İNEGÖL / BURSA;016;020500151016;
KARACABEY / BURSA;016;020500421016;
KESTEL / BURSA;016;020500197016;
MUSTAFA KEMAL PAŞA / BURSA;016;020500237016;
NİLÜFER / BURSA;016;020500236016;
ORHANGAZİ / BURSA;016;020500398016;
OSMANGAZİ / BURSA;016;020500047016;
ÖZLÜCE / BURSA;016;020500304016;
ULU CAMİ  / BURSA;016;020500436016;
ULUDAĞ TİCARİ / BURSA;016;020500469016;
ÜÇEVLER / BURSA;016;020500438016;
VİŞNE CADDESİ / BURSA;016;020500389016;
BİGA / ÇANAKKALE;017;020500433017;
ÇANAKKALE / ÇANAKKALE;017;020500353017;
ÇANKIRI / ÇANKIRI;018;020500186018;
ÇORUM / ÇORUM;019;020500208019;
ÇINAR / DENİZLİ;020;020500328020;
DENİZLİ / DENİZLİ;020;020500032020;
DENİZLİ SANAYİ/DENİZLİ;020;020500270020;
DİCLEKENT / DİYARBAKIR;021;020500332021;
DİYARBAKIR /  / DİYARBAKIR;021;020500050021;
DİYARBAKIR KARACADAĞ/ DİYARBAKIR;021;020500407021;
KAYAPINAR / DİYARBAKIR;021;020500146021;
OFİS / DİYARBAKIR;021;020500231021;
EDİRNE ŞUBE;022;020500390022;
ELAZIG /ELAZIG;023;020500057023;
FIRAT / ELAZIĞ;023;020500344023;
ERZİNCAN / ERZİNCAN;024;020500140024;
ERZURUM / ERZURUM;025;020500120025;
YAKUTİYE / ERZURUM;025;020500342025;
ESKİŞEHİR / ESKİŞEHİR;026;020500056026;
ESKİŞEHİR SANAYİ / ESKİŞEHİR;026;020500155026;
TAŞBAŞI / ESKİŞEHİR;026;020500446026;
YUNUS EMRE / ESKİŞEHİR;026;020500379026;
GATEM / GAZİANTEP;027;020500136027;
GAZİANTEP / GAZİANTEP;027;020500035027;
GAZİANTEP ORGANİZE SANAYİ / GAZİANTEP;027;020500308027;
GAZİANTEP OSB TİCARİ ŞUBESİ / GAZİANTEP;027;020500454027;
GAZİANTEP TİCARİ / GAZİANTEP;027;020500466027;
KARAGÖZ / GAZİANTEP;027;020500061027;
KARATAŞ / GAZIANTEP;027;020500253027;
KÜSGET / GAZİANTEP;027;020500419027;
NİZİP / GAZİANTEP;027;020500221027;
ŞEHİT KAMİL / GAZİANTEP;027;020500356027;
GİRESUN / GİRESUN;028;020500164028;
GÜMÜŞHANE / GÜMÜŞHANE;029;020500244029;
ANTAKYA / HATAY;031;020500019031;
ANTAKYA SANAYİ / HATAY;031;020500345031;
DORTYOL / HATAY;031;020500340031;
İSKENDERUN / HATAY;031;020500135031;
KIRIKHAN / HATAY;031;020500354031;
GÜLKENT / ISPARTA;032;020500300032;
ISPARTA / ISPARTA;032;020500016032;
ERDEMLİ / MERSİN;033;020500437033;
MERSIN TICARI ŞUBESI;033;020500491033;
MERSİN / MERSİN;033;020500018033;
MERSİN HAL / MERSİN;033;020500383033;
MERSİN SERBEST BÖLGE / MERSİN;033;020500088033;
MEZİTLİ / MERSİN;033;020500175033;
POZCU / MERSİN;033;020500219033;
TARSUS / MERSİN;033;020500306033;
ACIBADEM / İSTANBUL;034;020500382034;
AHMED YESEVİ / İSTANBUL;034;020500352034;
AKSARAY METRO / İSTANBUL;034;020500416034;
ALİBEYKÖY / İSTANBUL ;034;020500361034;
ALTINTEPE / İSTANBUL;034;020500147034;
ALTUNİZADE / İSTANBUL;034;020500054034;
ALTUNİZADE TİCARİ / İSTANBUL;034;020500463034;
ARNAVUTKÖY / İSTANBUL;034;020500322034;
ATAKENT / İSTANBUL;034;020500321034;
ATIŞALANI / İSTANBUL;034;020500297034;
AVCILAR / İSTANBUL;034;020500077034;
BAĞCILAR / İSTANBUL;034;020500046034;
BAHCELİEVLER / İSTANBUL;034;020500062034;
BAHÇEŞEHİR / İSTANBUL;034;020500132034;
BAKIRKÖY / İSTANBUL;034;020500006034;
BANKALAR CADDESİ / İSTANBUL;034;020500209034;
BASIN EKSPRES / İSTANBUL;034;020500385034;
BAŞAKSEHİR / İSTANBUL;034;020500114034;
BAŞAKŞEHİR BULVAR / İSTANBUL;034;020500474034;
BAŞAKŞEHİR MEYDAN / İSTANBUL;034;020500441034;
BAŞAKŞEHİR 2. ETAP / İSTANBUL;034;020500420034;
BAYRAMPASA / İSTANBUL;034;020500043034;
BEŞİKTAS / İSTANBUL;034;020500063034;
BEŞTELSİZ / İSTANBUL;034;020500395034;
BEŞYÜZEVLER / İSTANBUL;034;020500020034;
BEYAZIT / İSTANBUL;034;020500039034;
